age_b2k,age_ka_cal_bp,ngrip_depth_m,d18o_permil,core_id
40300,40.250,2101.93,-42.49,1587
40320,40.270,2102.26,-42.12,1588
40340,40.290,2102.60,-41.98,1589
40360,40.310,2102.93,-42.40,1591
40380,40.330,2103.28,-42.41,1592
40400,40.350,2103.59,-41.76,1594
40420,40.370,2103.87,-42.37,1595
40440,40.390,2104.13,-42.28,1596
40460,40.410,2104.43,-43.00,1597
40480,40.430,2104.73,-42.07,1598
40500,40.450,2105.04,-42.32,1599
40520,40.470,2105.36,-41.79,1600
40540,40.490,2105.67,-41.92,1601
40560,40.510,2105.97,-42.41,1603
40580,40.530,2106.26,-43.40,1604
40600,40.550,2106.57,-43.00,1606
40620,40.570,2106.89,-42.58,1607
40640,40.590,2107.21,-45.42,1607
40660,40.610,2107.54,-42.57,1607
40680,40.630,2107.86,-42.49,1608
40700,40.650,2108.16,-42.86,1609
40720,40.670,2108.43,-44.29,1610
40740,40.690,2108.81,-42.54,1611
40760,40.710,2109.13,-44.53,1612
40780,40.730,2109.40,-43.86,1614
40800,40.750,2109.71,-43.19,1615
40820,40.770,2110.05,-41.04,1616
40840,40.790,2110.34,-42.59,1616
40860,40.810,2110.69,-41.46,1618
40880,40.830,2111.04,-42.63,1618
40900,40.850,2111.37,-41.98,1618
40920,40.870,2111.71,-42.35,1619
40940,40.890,2112.04,-41.30,1619
40960,40.910,2112.38,-42.16,1620
40980,40.930,2112.78,-40.41,1621
41000,40.950,2113.17,-41.18,1622
41020,40.970,2113.62,-40.80,1622
41040,40.990,2114.03,-39.59,1623
41060,41.010,2114.42,-39.83,1623
41080,41.030,2114.79,-40.35,1624
41100,41.050,2115.20,-39.60,1624
41120,41.070,2115.67,-39.22,1624
41140,41.090,2116.07,-40.36,1625
41160,41.110,2116.57,-39.70,1625
41180,41.130,2117.01,-41.25,1625
41200,41.150,2117.49,-39.25,1625
41220,41.170,2117.94,-39.36,1626
41240,41.190,2118.39,-40.13,1627
41260,41.210,2118.92,-39.84,1627
41280,41.230,2119.42,-39.94,1628
41300,41.250,2119.93,-38.34,1628
41320,41.270,2120.41,-39.47,1629
41340,41.290,2120.91,-39.41,1631
41360,41.310,2121.40,-39.97,1631
41380,41.330,2121.89,-38.94,1632
41400,41.350,2122.45,-38.82,1632
41420,41.370,2123.02,-38.56,1632
41440,41.390,2123.60,-38.36,1633
41460,41.410,2124.03,-39.79,1633
41480,41.430,2124.45,-41.75,1633
41500,41.450,2124.72,-43.22,1635
41520,41.470,2125.02,-42.27,1637
41540,41.490,2125.35,-41.32,1639
41560,41.510,2125.67,-43.49,1640
41580,41.530,2125.95,-42.76,1641
41600,41.550,2126.21,-42.71,1642
41620,41.570,2126.48,-41.75,1645
41640,41.590,2126.79,-42.31,1647
