"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 159.4
Aoverall 162.3",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"R_Date OxA-21666","37814","36425","38911","36260","37226","36404","37940","36155",,112.1,,95.4,99.7,
"Phase ARB Level-G Evolved Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-G",,,,,"37921","36578","39248","36347",,,,,98.2,
"Interval Gap H-G",,,,,"1296","3348","158","3746",,,,,98.5,
"Boundary End ARB Level-H",,,,,"40543","39197","40884","38227",,,,,96.9,
"R_Date OxA-21664","41599","40442","42002","39834","41124","40292","41495","39827",,103.7,,95.4,99.7,
"R_Date OxA-21784","41722","40535","42087","39855","41135","40284","41531","39829",,99.6,,95.4,99.7,
"R_Date OxA-21665","41599","40345","42020","39727","41097","40237","41490","39770",,107.3,,95.5,99.7,
"R_Date OxA-21674","39415","37815","40051","37090","40732","39563","41052","38844",,40.5,,92.6,99,
"R_Date SANU-29016","41464","40003","42070","39429","41040","40138","41477","39632",,114.8,,95.4,99.7,
"R_Date SANU-29019","41770","40315","42173","39558","41079","40175","41527","39685",,108.4,,95.4,99.7,
"R_Date SANU-29017","40812","39266","41462","37866","40905","39962","41242","39312",,113.2,,95.4,99.6,
"Phase ARB Level-H Proto-Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-H",,,,,"41619","40695","42095","40300",,,,,98.9,
"Interval Gap I-H",,,,,"96","1126","0","1674",,,,,99.6,
"Boundary End ARB Level-I",,,,,"42420","41768","42576","41145",,,,,99.1,
"R_Date OxA-21662","42319","41442","42730","40912","42526","42043","42775","41612",,94.1,,95.3,99.6,
"R_Date OxA-21704","43795","42283","44504","42037","42689","42209","43263","41971",,112.5,,95.4,99.4,
"R_Date OxA-19994","42549","42238","42750","42095","42523","42245","42708","42107",,106.3,,95.8,99.7,
"Phase ARB Level-I Mousterian final",,,,,,,,,,,,,,
"Boundary Start ARB Level-I",,,,,"43046","42290","44206","42156",,,,,89.3,
"Sequence ARB_local_baseline_v1",,,,,,,,,,,,,,
"Boundary End FO Unit-II",,,,,"9444","7417","9810","1862",,,,,67.3,
"Span Span FO Unit-II",,,,,"180","2038","78","8823",,,,,12.5,
"FO Unit-II age",,,,,"11358","8178","18417","4508",,,,,53,
"R_Date FO-002 R-EVA-1986 Cervus elaphus","9440","9311","9461","9295","9450","9310","18490","9143",,92.3,,87.7,23.6,
"R_Date FO-001 OxA-29638 Lynx pardinus","9892","9700","10115","9558","9891","9695","10115","9555",,99.9,,95.4,98.1,
"Phase FO Unit-II (Mesolithic)",,,,,,,,,,,,,,
"Boundary Start FO Unit-II",,,,,"13113","9601","22639","9556",,,,,14,
