"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 154
Aoverall 158.5",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Span Span FO Unit-IIIc",,,,,"2237","3526","1713","4507",,,,,99.6,
"FO Unit-IIIc age",,,,,"37449","34684","38733","33630",,,,,99.6,
"R_Date FO-007 OxA-34251 ABOx-SC","37056","35790","38195","35284","37031","35858","37674","35301",,105,,95.2,99.5,
"R_Date FO-006 OxA-34233 ABOx-SC","38502","37154","39160","36885","37926","36925","38634","36508",,97.4,,94.9,99.3,
"R_Date FO-005 Beta-378800 AAA","34772","34405","35148","34316","35095","34427","35251","34323",,88.6,,93.3,99.3,
"R_Date FO-012 OxA-34250 SW Gallery ABOx-SC","37013","36207","37652","35718","36999","36211","37585","35769",,103.5,,80.8,99.4,
"R_Date FO-013 OxA-34232 SW Gallery ABOx-SC","36990","36212","37609","35771","36979","36214","37567","35804",,103.1,,80.8,99.4,
"Phase FO Unit-IIIc (Early Aurignacian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIc",,,,,"38795","37311","39542","36979",,,,,99.4,
"Interval Gap FO Unit-IV.1-IV -> Unit-IIIc",,,,,"720","2282","0","2580",,,,,99.7,
"Boundary End FO Unit-IV.1-IV",,,,,"39868","39371","40228","39055",,,,,99.4,
"Span Span FO Unit-IV.1-IV",,,,,"0","357","0","1379",,,,,97.8,
"FO Unit-IV.1-IV age",,,,,"40156","39471","41193","39155",,,,,98,
"R_Date FO-010 OxA-X-2650-9 AOx-SC","40574","38068","41415","36925","40120","39485","40780","39245",,125.6,,66.3,98,
"R_Combine FO-009 subsample combine","39868","39443","40184","39263","39970","39540","40336","39386",,93.3,,,99.2,
"Phase FO Unit-IV.1-IV (Chatelperronian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IV.1-IV",,,,,"40494","39560","42212","39354",,,,,87.9,
"Sequence FO_local_baseline_consolidado_v1",,,,,,,,,,,,,,
"Boundary End AR full sequence",,,,,"41506","40427","41814","39488",,,,,90.2,
"Boundary End AR Carbonates above A",,,,,"41681","40895","41912","40264",,,,,98.5,
"AR Age Carbonates above A",,,,,"41742","41067","41961","40560",,,,,99.1,
"N AR4 average age","43733","41467","44800","40400","41742","41082","41962","40620",,74.1,,95,99.2,
"R_Date USGS-2839","42191","40296","43129","39037","41740","41065","41959","40582",,133.3,,95.3,99,
"Phase AR Carbonates above A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates above A",,,,,"41832","41242","42019","40817",,,,,99.1,
"Boundary End AR Level A",,,,,"41974","41529","42113","41225",,,,,99.3,
"AR Age Level A",,,,,"42090","41686","42247","41410",,,,,99.7,
"R_Date UA3","42758","41647","43865","41020","42104","41707","42251","41436",,108.4,,95.4,99.7,
"R_Date UA1","42320","41317","42812","40632","42088","41697","42230","41428",,132.7,,95.5,99.7,
"R_Date AA-6608","42176","41029","42583","40124","42079","41688","42220","41417",,127,,95.5,99.7,
"R_Date OxA-11967","41541","40469","41961","39900","42046","41667","42179","41387",,46.6,,94.5,99.7,
"R_Date AA-7395","42400","41290","43045","40495","42090","41700","42235","41425",,135.4,,95.5,99.7,
"R_Date NZA-2311","41976","41126","42273","40597","42062","41683","42195","41420",,107.2,,95.5,99.7,
"R_Date AA-8037B","42758","41647","43865","41020","42104","41708","42252","41440",,108.4,,95.4,99.7,
"Phase AR Level A",,,,,,,,,,,,,,
"Boundary Start AR Level A",,,,,"42223","41822","42409","41569",,,,,99.2,
"Boundary End AR Carbonates below A",,,,,"42564","42231","42699","42000",,,,,99.6,
"AR Age Carbonates below A",,,,,"42632","42343","42775","42164",,,,,99.9,
"N AR U-series 42700±200","42906","42494","43100","42300","42638","42378","42764","42248",,86.1,,95.4,99.9,
"N AR U-series 42500±200","42706","42294","42900","42100","42618","42356","42744","42220",,119.6,,95.9,99.9,
"Phase AR Carbonates below A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates below A",,,,,"42715","42445","42860","42311",,,,,99.8,
"Boundary End AR Level B",,,,,"42841","42560","43015","42420",,,,,99.8,
"AR Age Level B",,,,,"42970","42622","43290","42481",,,,,99.9,
"R_Date OxA-12025","42811","42496","42990","42364","42914","42638","43094","42509",,88.8,,95.1,99.9,
"Phase AR Level B",,,,,,,,,,,,,,
"Boundary Start AR Level B",,,,,"43115","42676","43582","42536",,,,,99.6,
"Boundary End AR Level D",,,,,"43698","42908","44268","42730",,,,,99.5,
"AR Age Level D",,,,,"43997","43113","44552","42866",,,,,99.8,
"R_Date NZA-2313","44410","43055","45285","42611","44000","43127","44501","42898",,117.9,,95.4,99.8,
"Phase AR Level D",,,,,,,,,,,,,,
"Boundary Start AR Level D",,,,,"44315","43305","44870","42990",,,,,99.5,
"Boundary End AR Carbonate below D",,,,,"44882","43749","45480","43293",,,,,99.3,
"AR Age Carbonate below D",,,,,"45122","43993","45710","43501",,,,,99.7,
"N AR U-series 44900±2500","47475","42325","49900","39900","45150","43975","45750","43475",,137.3,,95.1,99.9,
"Phase AR Carbonate below D",,,,,,,,,,,,,,
"Boundary Start AR Carbonate below D",,,,,"45377","44214","45979","43679",,,,,99.3,
"Boundary End AR Level E",,,,,"45832","44718","46439","44213",,,,,99.4,
"AR Age Level E",,,,,"46013","44949","46613","44488",,,,,99.6,
"R_Date NZA-2314","46722","44746","48336","44235","45994","44969","46583","44550",,126.2,,95.3,99.6,
"Phase AR Level E",,,,,,,,,,,,,,
"Boundary Start AR Level E",,,,,"46237","45163","46834","44697",,,,,99.3,
"Boundary End AR Level H",,,,,"46667","45573","47258","45088",,,,,99,
"AR Age Level H",,,,,"46858","45780","47458","45288",,,,,99.5,
"R_Date CAMS_H","52337","44165","...","42911","46862","45778","47468","45290",,115.6,,95,99.5,
"R_Date NZA-2315","48181","45723","50184","44765","46860","45804","47460","45319",,123.3,,95.2,99.5,
"Phase AR Level H",,,,,,,,,,,,,,
"Boundary Start AR Level H",,,,,"47067","45966","47694","45488",,,,,99,
"Boundary End AR Travertine H-I",,,,,"47443","46298","48071","45789",,,,,99.1,
"AR Age Travertine H-I",,,,,"47633","46496","48251","45971",,,,,99.4,
"N AR U-series 45100±3100","48293","41907","51300","38900","47695","46455","48253","45959",,114,,95.1,99.6,
"Phase AR Travertine H-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine H-I",,,,,"47851","46658","48448","46139",,,,,98.9,
"Boundary End AR Travertine J-I",,,,,"48226","47090","48786","46553",,,,,97.7,
"AR Age Travertine J-I",,,,,"48417","47264","49017","46715",,,,,98.8,
"N AR J-I U-series 49200±2900","52187","46213","55000","43400","48494","47218","49103","46638",,125.5,,95.1,99.1,
