"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 157.5
Aoverall 162.6",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"N AR J-I U-series 49200±3300","52599","45801","55800","42600","48419","47231","49046","46670",,128.5,,95.1,98.7,
"N AR J-I U-series 48000±1600","49648","46352","51200","44800","48424","47240","49000","46696",,132.8,,95.2,98.6,
"N AR J-I U-series 46300±2400","48772","43828","51100","41500","48416","47216","48992","46688",,113.4,,95.1,98.7,
"N AR J-I U-series 46900±2600","49578","44222","52100","41700","48432","47236","49056","46638",,129.9,,95.1,98.6,
"N AR J-I U-series 48600±2300","50969","46231","53200","44000","48420","47247","49041","46672",,130.6,,95.1,98.7,
"N AR J-I U-series 46500±1500","48045","44955","49500","43500","48410","47225","48965","46700",,94.1,,95.1,98.6,
"Phase AR Travertine J-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine J-I",,,,,"48625","47402","49246","46809",,,,,96.4,
"Boundary End AR Level J",,,,,"49073","47654","49942","47014",,,,,97.2,
"AR Age Level J",,,,,"49298","47773","50233","47118",,,,,97.2,
"R_Date NZA-2316","52527","47569","...","46839","49299","47782","50237","47115",,114,,95.1,97.2,
"Phase AR Level J",,,,,,,,,,,,,,
"Boundary Start AR Level J",,,,,"49526","47881","50560","47192",,,,,96.5,
"Boundary End AR Carbonate above J",,,,,"50000","48096","51171","47392",,,,,95.4,
"AR Age Carbonate above J",,,,,"50227","48256","51478","47469",,,,,95.2,
"N AR U-series 50400±2600","53078","47722","55600","45200","50252","48224","51526","47470",,123.3,,95.1,96.3,
"Phase AR Carbonate above J",,,,,,,,,,,,,,
"Boundary Start AR Carbonate above J",,,,,"50703","48118","51857","47534",,,,,59.6,
"Sequence Abric Romani — full sequence structural consolidado v1",,,,,,,,,,,,,,
"Phase M3 transition-core baseline",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","2.24","5.37764e-17","3.164",,100,,,99.5,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,99.9,
"Outlier_Model General",,,,,"-90","91","-888","925",,,,,100,
"Curve Atmospheric",,,,,,,,,,,,,,
