"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 159.4
Aoverall 162.4",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Phase FO Unit-IIIn (Initial Gravettian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIn",,,,,"32568","30826","34007","30510",,,,,99.3,
"Interval Gap FO Unit-IIIc -> Unit-IIIn",,,,,"1022","3489","0","3770",,,,,99.4,
"Boundary End FO Unit-IIIc",,,,,"34906","33664","35217","32100",,,,,99.4,
"Span Span FO Unit-IIIc",,,,,"2185","3394","1628","4414",,,,,99.6,
"FO Unit-IIIc age",,,,,"37376","34731","38479","33649",,,,,99.6,
"R_Date FO-007 OxA-34251 ABOx-SC","37056","35790","38195","35284","37021","35861","37609","35317",,106.1,,95.2,99.5,
"R_Date FO-006 OxA-34233 ABOx-SC","38502","37154","39160","36885","37818","36887","38472","36475",,94.7,,94.7,99.2,
"R_Date FO-005 Beta-378800 AAA","34772","34405","35148","34316","35100","34428","35263","34308",,87.6,,92.8,99.3,
"R_Date FO-012 OxA-34250 SW Gallery ABOx-SC","37013","36207","37652","35718","36996","36220","37562","35788",,104.3,,80.8,99.4,
"R_Date FO-013 OxA-34232 SW Gallery ABOx-SC","36990","36212","37609","35771","36974","36219","37539","35801",,103.8,,80.8,99.4,
"Phase FO Unit-IIIc (Early Aurignacian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIc",,,,,"38501","37234","39274","36892",,,,,99.5,
"Interval Gap FO Unit-IV.1-IV -> Unit-IIIc",,,,,"0","1440","0","2292",,,,,99.6,
"Boundary End FO Unit-IV.1-IV",,,,,"39764","38741","40007","37777",,,,,99,
"Span Span FO Unit-IV.1-IV",,,,,"0","742","0","2080",,,,,98.8,
"FO Unit-IV.1-IV age",,,,,"40213","39141","41638","38181",,,,,98.9,
"R_Date FO-010 OxA-X-2650-9 AOx-SC","40574","38068","41415","36925","40110","39200","40910","38494",,126.3,,66.3,99.1,
"R_Combine FO-009 subsample combine","39868","39443","40184","39263","39850","39435","40146","39264",,101.3,,,99.5,
"Phase FO Unit-IV.1-IV (Chatelperronian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IV.1-IV",,,,,"40705","39438","43107","39280",,,,,91.4,
"Sequence FO_local_baseline_consolidado_v1",,,,,,,,,,,,,,
"Boundary End AR full sequence",,,,,"41511","40440","41810","39513",,,,,88.6,
"Boundary End AR Carbonates above A",,,,,"41672","40892","41915","40262",,,,,98.4,
"AR Age Carbonates above A",,,,,"41745","41070","41960","40551",,,,,98.9,
