"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 152.6
Aoverall 156.3",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Phase AR Level D",,,,,,,,,,,,,,
"Boundary Start AR Level D",,,,,"44328","43306","44866","42978",,,,,99.4,
"Boundary End AR Carbonate below D",,,,,"44897","43764","45468","43288",,,,,99.4,
"AR Age Carbonate below D",,,,,"45133","44010","45729","43504",,,,,99.7,
"N AR U-series 44900±2500","47475","42325","49900","39900","45175","44000","45750","43475",,137.6,,95.3,99.9,
"Phase AR Carbonate below D",,,,,,,,,,,,,,
"Boundary Start AR Carbonate below D",,,,,"45394","44232","45987","43685",,,,,99.3,
"Boundary End AR Level E",,,,,"45826","44736","46448","44219",,,,,99.3,
"AR Age Level E",,,,,"46020","44953","46637","44492",,,,,99.7,
"R_Date NZA-2314","46722","44746","48336","44235","46005","44964","46594","44550",,126.8,,95.7,99.7,
"Phase AR Level E",,,,,,,,,,,,,,
"Boundary Start AR Level E",,,,,"46247","45162","46861","44716",,,,,99.4,
"Boundary End AR Level H",,,,,"46720","45599","47304","45099",,,,,99.1,
"AR Age Level H",,,,,"46901","45814","47504","45302",,,,,99.7,
"R_Date CAMS_H","52337","44165","...","42911","46905","45816","47512","45308",,115.8,,95.2,99.7,
"R_Date NZA-2315","48181","45723","50184","44765","46898","45829","47495","45338",,124.6,,95.6,99.7,
"Phase AR Level H",,,,,,,,,,,,,,
"Boundary Start AR Level H",,,,,"47113","45985","47742","45480",,,,,99.1,
"Boundary End AR Travertine H-I",,,,,"47523","46347","48124","45827",,,,,99.3,
"AR Age Travertine H-I",,,,,"47703","46553","48295","46038",,,,,99.6,
"N AR U-series 45100±3100","48293","41907","51300","38900","47726","46517","48377","45959",,113,,95.2,99.8,
"Phase AR Travertine H-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine H-I",,,,,"47902","46740","48485","46193",,,,,99.2,
"Boundary End AR Travertine J-I",,,,,"48302","47181","48828","46644",,,,,98.1,
"AR Age Travertine J-I",,,,,"48480","47355","49080","46806",,,,,99.4,
"N AR J-I U-series 49200±2900","52187","46213","55000","43400","48552","47305","49132","46783",,127.3,,95.3,99.7,
"N AR J-I U-series 49300±1600","50948","47652","52500","46100","48504","47368","49128","46808",,97.9,,95.3,99.6,
"N AR J-I U-series 49300±2700","52081","46519","54700","43900","48530","47342","49124","46775",,123.2,,95.3,99.7,
"N AR J-I U-series 47400±2500","49975","44825","52400","42400","48525","47325","49100","46800",,135.4,,95.4,99.7,
"N AR J-I U-series 49200±3300","52599","45801","55800","42600","48551","47297","49211","46736",,130.3,,95.2,99.7,
"N AR J-I U-series 48000±1600","49648","46352","51200","44800","48504","47352","49128","46792",,134.1,,95.5,99.7,
"N AR J-I U-series 46300±2400","48772","43828","51100","41500","48512","47336","49160","46760",,110.7,,95.2,99.7,
"N AR J-I U-series 46900±2600","49578","44222","52100","41700","48510","47340","49134","46768",,128.4,,95.3,99.7,
"N AR J-I U-series 48600±2300","50969","46231","53200","44000","48535","47316","49110","46810",,132.7,,95.4,99.7,
"N AR J-I U-series 46500±1500","48045","44955","49500","43500","48500","47315","49070","46805",,89.4,,95.3,99.6,
"Phase AR Travertine J-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine J-I",,,,,"48726","47537","49377","46965",,,,,97.9,
"Boundary End AR Level J",,,,,"49198","47793","50097","47200",,,,,98.9,
"AR Age Level J",,,,,"49451","47952","50465","47338",,,,,99,
"R_Date NZA-2316","52527","47569","...","46839","49438","47953","50460","47341",,118.2,,95.3,99,
"Phase AR Level J",,,,,,,,,,,,,,
"Boundary Start AR Level J",,,,,"49691","48069","50827","47444",,,,,98.4,
"Boundary End AR Carbonate above J",,,,,"50227","48352","51522","47681",,,,,97.5,
"AR Age Carbonate above J",,,,,"50476","48505","51833","47821",,,,,97.1,
"N AR U-series 50400±2600","53078","47722","55600","45200","50512","48458","51812","47808",,127.2,,95.3,98.1,
"Phase AR Carbonate above J",,,,,,,,,,,,,,
"Boundary Start AR Carbonate above J",,,,,"51038","48328","52109","47927",,,,,57,
"Sequence Abric Romani — full sequence structural consolidado v1",,,,,,,,,,,,,,
"Phase M3 transition-core baseline",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","3.536","5.37764e-17","3.536",,100,,,,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,30.6,
"Outlier_Model General",,,,,"-247","249","-1878","14223",,,,,0.7,
"Curve Atmospheric",,,,,,,,,,,,,,
