"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 140.6
"R_Date MAMS-17603","44570","44024","44720","43385","44553","44130","44794","43773",,114.1,,96.5,99,
"R_Date MAMS-17609","45158","44598","45538","44418","45077","44533","45488","44355",,101.1,,96.3,95.8,
"R_Date MAMS-18673","44045","43278","44336","43055","44375","43852","44556","43480",,82.1,,94.5,97.2,
"R_Date MAMS-18672","45005","44480","45405","44277","44939","44444","45361","44259",,104.2,,96.4,97.8,
"R_Date MAMS-18671","50710","48596","52174","48034","49847","44163","51162","43700",,64.9,,61.1,64.7,
"Phase Teixoneres Unit III",,,,,,,,,,,,,,
"Boundary Start Teixoneres Chamber X model",,,,,"50913","44469","53814","44388",,,,,48.4,
"Sequence Teixoneres_local_baseline_v1",,,,,,,,,,,,,,
"Boundary End RC Layer I-Ia",,,,,"39773","37721","40020","31172",,,,,92,
"Date RC Layer I-Ia",,,,,"40516","38694","42876","36011",,,,,99.4,
"Last Last RC Layer I-Ia",,,,,"39738","38579","40115","36759",,,,,99.1,
"First First RC Layer I-Ia",,,,,"40401","39726","41803","39435",,,,,99.5,
"R_Combine RC same sample OxA-23644 + OxA-24057","40337","39723","40595","39480","40174","39614","40511","39442",,100.7,,,99.6,
"R_Combine RC same sample OxA-23643 + OxA-2416-44","40198","39593","40505","39409","40081","39555","40431","39395",,104,,,99.6,
"R_Date Beta-273965","39375","38224","39630","37576","39737","38732","40010","37821",,91.2,,94.7,99.1,
"Phase RC Layer I-Ia (Cala A)",,,,,,,,,,,,,,
"Boundary Start RC Layer I-Ia",,,,,"41217","39682","46469","39508",,,,,95.3,
"Sequence Canyars_local_baseline_v1",,,,,,,,,,,,,,
"Boundary End 497D",,,,,"39672","37227","39904","29853",,,,,97.2,
"R_Date AA-68834c","39628","39152","39926","38615","39634","39141","39958","38504",,100,,95.2,99.7,
"Phase 497D",,,,,,,,,,,,,,
"Boundary Start 497D",,,,,"40730","39249","42119","38949",,,,,99.5,
"Interval Gap S1B-497D",,,,,"0","2045","0","2980",,,,,99.7,
"Boundary End S1B",,,,,"42629","41239","42791","39923",,,,,99.6,
"R_Date Beta-224299","42681","42326","42902","42176","42693","42325","42936","42151",,100.5,,95.7,99.7,
"Phase S1B",,,,,,,,,,,,,,
"Boundary Start S1B",,,,,"44512","42305","51793","42153",,,,,97.7,
"Sequence CGSL_transition_core_S1_without_Beta207578",,,,,,,,,,,,,,
"Difference d_Start_E_minus_End_F",,,,,"380","1789","0","2241",,,,,99.6,
"Difference d_Start_F_minus_End_G",,,,,"1846","4121","273","4471",,,,,99,
"Difference d_Start_G_minus_End_H",,,,,"1304","3383","120","3818",,,,,98.5,
"Difference d_Start_H_minus_End_I",,,,,"114","1143","-2","1666",,,,,99.5,
"Boundary End ARB Level-E",,,,,"30306","29514","30693","28033",,,,,96.8,
"R_Date OxA-21669","30276","29907","30739","29518","30295","29970","30735","29798",,104.2,,96.6,99.7,
"R_Date OxA-21668","30720","30095","30866","30017","30423","30050","30783","29993",,108.2,,96.4,99.8,
"Phase ARB Level-E Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-E",,,,,"30921","30131","31778","30035",,,,,99.1,
"Interval Gap F-E",,,,,"380","1789","0","2239",,,,,99.6,
"Boundary End ARB Level-F",,,,,"32591","31427","32926","30678",,,,,99.3,
"R_Date OxA-21782","32888","31946","33312","31644","32857","32022","33195","31740",,107.1,,96.5,99.7,
"R_Date OxA-21781","32857","31931","33256","31650","32848","32014","33167","31740",,106.3,,96.5,99.7,
"Phase ARB Level-F Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-F",,,,,"33661","32148","35353","31898",,,,,98.3,
"Interval Gap G-F",,,,,"1845","4115","292","4473",,,,,99,
"Boundary End ARB Level-G",,,,,"36846","35629","37200","34058",,,,,98.2,
"R_Date OxA-21783","37000","36035","37610","35430","37002","36253","37525","35831",,110.4,,96.4,99.7,
"R_Date OxA-21667","37115","36138","38075","35562","37025","36297","37586","35953",,115.7,,96.4,99.7,
"R_Date OxA-21666","37814","36425","38911","36260","37224","36405","37989","36160",,112.8,,96.2,99.7,
"Phase ARB Level-G Evolved Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-G",,,,,"37927","36584","39258","36355",,,,,98.3,
"Interval Gap H-G",,,,,"1309","3375","125","3784",,,,,98.5,
"Boundary End ARB Level-H",,,,,"40616","39225","40927","38235",,,,,97,
"R_Date OxA-21664","41599","40442","42002","39834","41129","40298","41494","39816",,105.3,,96.3,99.7,
"R_Date OxA-21784","41722","40535","42087","39855","41155","40303","41538","39827",,101.3,,96.3,99.7,
"R_Date OxA-21665","41599","40345","42020","39727","41109","40240","41488","39774",,108.9,,96.3,99.7,
"R_Date OxA-21674","39415","37815","40051","37090","40761","39575","41113","38839",,39.6,,90.1,99.1,
"R_Date SANU-29016","41464","40003","42070","39429","41064","40160","41483","39638",,116.3,,96.4,99.6,
"R_Date SANU-29019","41770","40315","42173","39558","41093","40195","41535","39692",,110,,96.3,99.6,
"R_Date SANU-29017","40812","39266","41462","37866","40925","39973","41255","39317",,113.1,,96.2,99.6,
"Phase ARB Level-H Proto-Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-H",,,,,"41609","40685","42089","40309",,,,,98.9,
"Interval Gap I-H",,,,,"119","1144","0","1660",,,,,99.6,
"Boundary End ARB Level-I",,,,,"42424","41771","42574","41147",,,,,99.2,
"R_Date OxA-21662","42319","41442","42730","40912","42524","42038","42778","41607",,95.1,,96.2,99.6,
"R_Date OxA-21704","43795","42283","44504","42037","42691","42204","43264","41965",,113.2,,96.3,99.4,
"R_Date OxA-19994","42549","42238","42750","42095","42523","42242","42709","42105",,107.1,,96.8,99.7,
"Phase ARB Level-I Mousterian final",,,,,,,,,,,,,,
"Boundary Start ARB Level-I",,,,,"43030","42300","44205","42147",,,,,89.7,
"Sequence ARB_local_baseline_v1",,,,,,,,,,,,,,
"Boundary End FO Unit-II",,,,,"9440","7653","9478","2166",,,,,92.4,
"Span Span FO Unit-II",,,,,"200","1659","7","6829",,,,,99.6,
"FO Unit-II age",,,,,"11076","8318","17077","4453",,,,,99.6,
"R_Date FO-002 R-EVA-1986 Cervus elaphus","9440","9311","9461","9295","9445","9314","9465","9291",,100.7,,96.4,99.3,
"R_Date FO-001 OxA-29638 Lynx pardinus","9892","9700","10115","9558","9890","9694","10115","9554",,100.5,,95.9,99.1,
"Phase FO Unit-II (Mesolithic)",,,,,,,,,,,,,,
"Boundary Start FO Unit-II",,,,,"12358","9640","21173","9546",,,,,94,
"Interval Gap FO Unit-IIIn -> Unit-II",,,,,"13332","20302","3850","20474",,,,,93.7,
"Boundary End FO Unit-IIIn",,,,,"30273","27186","30638","18542",,,,,94.5,
"Span Span FO Unit-IIIn",,,,,"361","1954","0","6526",,,,,98.2,
"FO Unit-IIIn age",,,,,"31798","28990","33645","23998",,,,,99.4,
"R_Date FO-004 Beta-674118 H. sanguineum","30202","30020","30327","29963","30214","30020","30381","29931",,98.2,,94.9,99.2,
