"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 151.3
Aoverall 157.1",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"R_Date OxA-21665","41599","40345","42020","39727","41094","40237","41489","39761",,107.2,,95.3,99.7,
"R_Date OxA-21674","39415","37815","40051","37090","40715","39573","41046","38847",,40.6,,93.2,99.4,
"R_Date SANU-29016","41464","40003","42070","39429","41049","40152","41477","39629",,114.6,,95.3,99.8,
"R_Date SANU-29019","41770","40315","42173","39558","41093","40182","41537","39683",,108.3,,95.3,99.7,
"R_Date SANU-29017","40812","39266","41462","37866","40903","39956","41245","39305",,112.9,,95.3,99.7,
"Phase ARB Level-H Proto-Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-H",,,,,"41623","40693","42100","40315",,,,,99.1,
"Interval Gap I-H",,,,,"132","1175","0","1682",,,,,99.5,
"Boundary End ARB Level-I",,,,,"42424","41810","42570","41175",,,,,98.7,
"R_Date OxA-21662","42319","41442","42730","40912","42514","42057","42754","41649",,94.6,,95.2,99.3,
"R_Date OxA-21704","43795","42283","44504","42037","42648","42202","43133","41985",,109.7,,95.3,97.8,
"R_Date OxA-19994","42549","42238","42750","42095","42514","42238","42691","42104",,106.4,,95.7,99.2,
"Phase ARB Level-I Mousterian final",,,,,,,,,,,,,,
"Boundary Start ARB Level-I",,,,,"42919","42287","43866","42136",,,,,89.5,
"Sequence ARB_local_baseline_v1",,,,,,,,,,,,,,
"Boundary End FO Unit-II",,,,,"9437","8323","9471","4794",,,,,89.5,
"Span Span FO Unit-II",,,,,"196","1316","0","5762",,,,,97.8,
"FO Unit-II age",,,,,"10745","8715","16028","6026",,,,,97.7,
"R_Date FO-002 R-EVA-1986 Cervus elaphus","9440","9311","9461","9295","9446","9315","9465","9293",,99.7,,95.1,99.5,
"R_Date FO-001 OxA-29638 Lynx pardinus","9892","9700","10115","9558","9890","9693","10114","9554",,99.6,,95,99.4,
"Phase FO Unit-II (Mesolithic)",,,,,,,,,,,,,,
"Boundary Start FO Unit-II",,,,,"11886","9603","19854","9358",,,,,91.4,
"Interval Gap FO Unit-IIIn -> Unit-II",,,,,"14186","20332","4640","20515",,,,,93.7,
"Boundary End FO Unit-IIIn",,,,,"30277","27289","30424","18674",,,,,94.9,
"Span Span FO Unit-IIIn",,,,,"368","1898","16","6542",,,,,99.7,
"FO Unit-IIIn age",,,,,"31796","29020","33593","24005",,,,,99.6,
"R_Date FO-004 Beta-674118 H. sanguineum","30202","30020","30327","29963","30210","30020","30346","29956",,98.7,,95.3,99.5,
"R_Date FO-003 OxA-24646 H. sanguineum","31052","30831","31121","30436","31059","30809","31116","30412",,95.3,,95.2,99.5,
"Delta_R FO IIIn Delta_R","-73.5","-10.5","-102","18","-71.5","-11","-101.5","19.5",,99.8,,,99.9,
"Phase FO Unit-IIIn (Initial Gravettian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIn",,,,,"32542","30823","33987","30503",,,,,99.2,
"Interval Gap FO Unit-IIIc -> Unit-IIIn",,,,,"1067","3498","0","3773",,,,,99.4,
"Boundary End FO Unit-IIIc",,,,,"34918","33699","35215","32110",,,,,99.3,
"Span Span FO Unit-IIIc",,,,,"2141","3266","1593","4231",,,,,99.6,
"FO Unit-IIIc age",,,,,"37278","34744","38284","33688",,,,,99.6,
"R_Date FO-007 OxA-34251 ABOx-SC","37056","35790","38195","35284","37016","35889","37556","35338",,107,,95.2,99.5,
"R_Date FO-006 OxA-34233 ABOx-SC","38502","37154","39160","36885","37736","36882","38321","36455",,92,,94.6,99.1,
"R_Date FO-005 Beta-378800 AAA","34772","34405","35148","34316","35115","34431","35260","34310",,87.2,,92.9,99.3,
"R_Date FO-012 OxA-34250 SW Gallery ABOx-SC","37013","36207","37652","35718","36986","36223","37545","35821",,105.1,,80.8,99.5,
"R_Date FO-013 OxA-34232 SW Gallery ABOx-SC","36990","36212","37609","35771","36970","36222","37525","35823",,104.5,,80.9,99.5,
"Phase FO Unit-IIIc (Early Aurignacian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIc",,,,,"38297","37180","38993","36853",,,,,99.5,
"Interval Gap FO Unit-IV.1-IV -> Unit-IIIc",,,,,"335","1829","0","2359",,,,,99.5,
"Boundary End FO Unit-IV.1-IV",,,,,"39741","38678","39977","37711",,,,,98.2,
"Span Span FO Unit-IV.1-IV",,,,,"0","752","0","2085",,,,,96,
"FO Unit-IV.1-IV age",,,,,"40198","39110","41578","38100",,,,,97.6,
"R_Date FO-010 OxA-X-2650-9 AOx-SC","40574","38068","41415","36925","40091","39173","40879","38426",,126.6,,66.3,98,
"R_Combine FO-009 subsample combine","39868","39443","40184","39263","39840","39430","40128","39258",,101.8,,,99.1,
"Phase FO Unit-IV.1-IV (Chatelperronian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IV.1-IV",,,,,"40720","39459","43053","39290",,,,,86.8,
"Sequence FO_local_baseline_consolidado_v1",,,,,,,,,,,,,,
"Boundary End AR full sequence",,,,,"41528","40435","41793","39530",,,,,90.1,
"Boundary End AR Carbonates above A",,,,,"41675","40894","41913","40274",,,,,96.7,
"AR Age Carbonates above A",,,,,"41743","41070","41956","40564",,,,,97.7,
"N AR4 average age","43733","41467","44800","40400","41753","41082","41951","40620",,74.3,,95,97.8,
"R_Date USGS-2839","42191","40296","43129","39037","41740","41073","41949","40584",,133.4,,95.3,97.6,
"Phase AR Carbonates above A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates above A",,,,,"41833","41246","42017","40822",,,,,98.2,
"Boundary End AR Level A",,,,,"41971","41532","42111","41225",,,,,98.6,
"AR Age Level A",,,,,"42089","41687","42246","41410",,,,,99.3,
