"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 153.5
Aoverall 158.9",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Span Span FO Unit-IIIn",,,,,"370","1905","7","6465",,,,,99.7,
"FO Unit-IIIn age",,,,,"31779","29039","33588","24058",,,,,99.6,
"R_Date FO-004 Beta-674118 H. sanguineum","30202","30020","30327","29963","30216","30021","30348","29956",,98.9,,95.2,99.5,
"R_Date FO-003 OxA-24646 H. sanguineum","31052","30831","31121","30436","31056","30808","31114","30411",,95.2,,95.1,99.4,
"Delta_R FO IIIn Delta_R","-73.5","-10.5","-102","18","-71.5","-10.5","-101.5","20",,99.7,,,99.9,
"Phase FO Unit-IIIn (Initial Gravettian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIn",,,,,"32525","30833","34013","30500",,,,,99.3,
"Interval Gap FO Unit-IIIc -> Unit-IIIn",,,,,"1101","3498","0","3790",,,,,99.4,
"Boundary End FO Unit-IIIc",,,,,"34907","33646","35217","31954",,,,,99.2,
"Span Span FO Unit-IIIc",,,,,"2184","3396","1583","4463",,,,,99.6,
"FO Unit-IIIc age",,,,,"37343","34715","38494","33655",,,,,99.6,
"R_Date FO-007 OxA-34251 ABOx-SC","37056","35790","38195","35284","37022","35857","37607","35321",,106.1,,95.2,99.5,
"R_Date FO-006 OxA-34233 ABOx-SC","38502","37154","39160","36885","37821","36898","38473","36470",,94.7,,94.7,99.3,
"R_Date FO-005 Beta-378800 AAA","34772","34405","35148","34316","35108","34432","35278","34290",,87.4,,92.3,99.4,
"R_Date FO-012 OxA-34250 SW Gallery ABOx-SC","37013","36207","37652","35718","36991","36218","37560","35785",,104.4,,80.8,99.4,
"R_Date FO-013 OxA-34232 SW Gallery ABOx-SC","36990","36212","37609","35771","36976","36221","37541","35822",,103.9,,80.8,99.5,
"Phase FO Unit-IIIc (Early Aurignacian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIc",,,,,"38508","37214","39281","36895",,,,,99.5,
"Interval Gap FO Unit-IV.1-IV -> Unit-IIIc",,,,,"0","1450","0","2300",,,,,99.5,
"Boundary End FO Unit-IV.1-IV",,,,,"39775","38747","40000","37784",,,,,98.8,
"Span Span FO Unit-IV.1-IV",,,,,"0","718","0","2025",,,,,97.6,
"FO Unit-IV.1-IV age",,,,,"40186","39144","41570","38172",,,,,98,
"R_Date FO-010 OxA-X-2650-9 AOx-SC","40574","38068","41415","36925","40087","39199","40884","38485",,126.7,,66.3,98.2,
"R_Combine FO-009 subsample combine","39868","39443","40184","39263","39850","39435","40136","39257",,101.4,,,99.2,
"Phase FO Unit-IV.1-IV (Chatelperronian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IV.1-IV",,,,,"40653","39458","42939","39258",,,,,89.1,
"Sequence FO_local_baseline_consolidado_v1",,,,,,,,,,,,,,
"Boundary End AR full sequence",,,,,"41502","40399","41787","39525",,,,,88.5,
"Boundary End AR Carbonates above A",,,,,"41676","40897","41904","40272",,,,,98.8,
"AR Age Carbonates above A",,,,,"41745","41074","41952","40563",,,,,99.4,
"N AR4 average age","43733","41467","44800","40400","41753","41082","41951","40620",,74.3,,95,99.5,
"R_Date USGS-2839","42191","40296","43129","39037","41746","41083","41945","40584",,133.5,,95.3,99.4,
"Phase AR Carbonates above A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates above A",,,,,"41834","41255","42016","40820",,,,,99.4,
"Boundary End AR Level A",,,,,"41977","41545","42108","41238",,,,,99.4,
"AR Age Level A",,,,,"42090","41694","42243","41415",,,,,99.8,
"R_Date UA3","42758","41647","43865","41020","42105","41715","42254","41446",,109,,95.4,99.8,
"R_Date UA1","42320","41317","42812","40632","42089","41704","42232","41439",,133,,95.6,99.8,
"R_Date AA-6608","42176","41029","42583","40124","42077","41694","42220","41425",,126.8,,95.5,99.8,
"R_Date OxA-11967","41541","40469","41961","39900","42050","41675","42181","41401",,45.9,,94.5,99.7,
"R_Date AA-7395","42400","41290","43045","40495","42090","41704","42235","41435",,135.7,,95.5,99.8,
"R_Date NZA-2311","41976","41126","42273","40597","42066","41692","42198","41429",,106.7,,95.5,99.7,
"R_Date AA-8037B","42758","41647","43865","41020","42105","41715","42252","41446",,109,,95.4,99.8,
"Phase AR Level A",,,,,,,,,,,,,,
"Boundary Start AR Level A",,,,,"42225","41825","42411","41580",,,,,99,
"Boundary End AR Carbonates below A",,,,,"42564","42231","42699","42001",,,,,99.4,
"AR Age Carbonates below A",,,,,"42634","42345","42775","42165",,,,,99.9,
"N AR U-series 42700±200","42906","42494","43100","42300","42638","42378","42768","42246",,86.4,,95.4,99.9,
"N AR U-series 42500±200","42706","42294","42900","42100","42620","42358","42746","42222",,119.6,,95.9,99.9,
"Phase AR Carbonates below A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates below A",,,,,"42715","42447","42860","42311",,,,,99.8,
"Boundary End AR Level B",,,,,"42845","42560","43026","42424",,,,,99.8,
"AR Age Level B",,,,,"42972","42624","43290","42477",,,,,99.9,
"R_Date OxA-12025","42811","42496","42990","42364","42915","42639","43098","42508",,88.5,,95.1,99.9,
"Phase AR Level B",,,,,,,,,,,,,,
"Boundary Start AR Level B",,,,,"43116","42676","43586","42532",,,,,99.6,
"Boundary End AR Level D",,,,,"43710","42910","44285","42731",,,,,99.5,
"AR Age Level D",,,,,"44004","43116","44551","42875",,,,,99.8,
"R_Date NZA-2313","44410","43055","45285","42611","43993","43130","44510","42900",,118,,95.4,99.8,
"Phase AR Level D",,,,,,,,,,,,,,
"Boundary Start AR Level D",,,,,"44306","43306","44876","42991",,,,,99.4,
"Boundary End AR Carbonate below D",,,,,"44876","43749","45481","43292",,,,,99.4,
"AR Age Carbonate below D",,,,,"45128","44010","45705","43504",,,,,99.7,
"N AR U-series 44900±2500","47475","42325","49900","39900","45150","44000","45725","43500",,137.3,,95.2,99.9,
"Phase AR Carbonate below D",,,,,,,,,,,,,,
"Boundary Start AR Carbonate below D",,,,,"45387","44237","45977","43701",,,,,99.3,
"Boundary End AR Level E",,,,,"45817","44718","46425","44215",,,,,99.4,
"AR Age Level E",,,,,"46010","44955","46611","44488",,,,,99.7,
"R_Date NZA-2314","46722","44746","48336","44235","45992","44973","46583","44551",,126.3,,95.3,99.7,
"Phase AR Level E",,,,,,,,,,,,,,
"Boundary Start AR Level E",,,,,"46231","45147","46826","44696",,,,,99.4,
"Boundary End AR Level H",,,,,"46692","45586","47277","45085",,,,,99,
"AR Age Level H",,,,,"46850","45778","47458","45288",,,,,99.6,
"R_Date CAMS_H","52337","44165","...","42911","46866","45781","47457","45292",,115.6,,95,99.6,
"R_Date NZA-2315","48181","45723","50184","44765","46862","45813","47442","45327",,123.3,,95.2,99.6,
"Phase AR Level H",,,,,,,,,,,,,,
"Boundary Start AR Level H",,,,,"47069","45966","47677","45478",,,,,99.1,
"Boundary End AR Travertine H-I",,,,,"47476","46315","48063","45779",,,,,99.1,
"AR Age Travertine H-I",,,,,"47652","46515","48239","45978",,,,,99.4,
"N AR U-series 45100±3100","48293","41907","51300","38900","47664","46486","48253","45959",,114.1,,95.1,99.7,
"Phase AR Travertine H-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine H-I",,,,,"47838","46679","48446","46149",,,,,99.1,
"Boundary End AR Travertine J-I",,,,,"48223","47084","48794","46558",,,,,97.5,
"AR Age Travertine J-I",,,,,"48416","47270","49013","46730",,,,,99.1,
"N AR J-I U-series 49200±2900","52187","46213","55000","43400","48465","47218","49074","46667",,125.4,,95.1,99.4,
"N AR J-I U-series 49300±1600","50948","47652","52500","46100","48440","47256","49000","46760",,93.7,,95.1,99.3,
"N AR J-I U-series 49300±2700","52081","46519","54700","43900","48503","47180","49097","46667",,121,,95.1,99.4,
"N AR J-I U-series 47400±2500","49975","44825","52400","42400","48425","47250","49050","46675",,135.9,,95.1,99.4,
"N AR J-I U-series 49200±3300","52599","45801","55800","42600","48419","47264","49079","46670",,128.8,,95.1,99.4,
"N AR J-I U-series 48000±1600","49648","46352","51200","44800","48424","47256","49000","46744",,133.2,,95.2,99.4,
"N AR J-I U-series 46300±2400","48772","43828","51100","41500","48440","47240","49016","46712",,112.9,,95.1,99.4,
"N AR J-I U-series 46900±2600","49578","44222","52100","41700","48432","47262","49030","46716",,129.7,,95.1,99.4,
"N AR J-I U-series 48600±2300","50969","46231","53200","44000","48420","47270","49041","46718",,130.9,,95.1,99.4,
"N AR J-I U-series 46500±1500","48045","44955","49500","43500","48380","47270","48995","46715",,93.3,,95.1,99.4,
"Phase AR Travertine J-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine J-I",,,,,"48628","47375","49272","46881",,,,,97.3,
"Boundary End AR Level J",,,,,"49078","47694","49958","47056",,,,,97.9,
"AR Age Level J",,,,,"49300","47822","50242","47165",,,,,98.2,
"R_Date NZA-2316","52527","47569","...","46839","49312","47827","50241","47167",,114.7,,95.1,98.1,
"Phase AR Level J",,,,,,,,,,,,,,
"Boundary Start AR Level J",,,,,"49527","47932","50601","47244",,,,,97.6,
"Boundary End AR Carbonate above J",,,,,"50007","48172","51228","47414",,,,,96.9,
"AR Age Carbonate above J",,,,,"50224","48247","51528","47546",,,,,96.9,
"N AR U-series 50400±2600","53078","47722","55600","45200","50226","48302","51552","47522",,123.8,,95.1,97.9,
"Phase AR Carbonate above J",,,,,,,,,,,,,,
"Boundary Start AR Carbonate above J",,,,,"50590","48264","51862","47701",,,,,56.9,
"Sequence Abric Romani — full sequence structural consolidado v1",,,,,,,,,,,,,,
"Phase M3 transition-core baseline",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","2.3","5.37764e-17","3.18",,100,,,98.6,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,99.9,
"Outlier_Model General",,,,,"-95","95","-914","987",,,,,100,
"Curve Atmospheric",,,,,,,,,,,,,,
