"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 157.4
Aoverall 163.2",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"R_Date FO-002 R-EVA-1986 Cervus elaphus","9440","9311","9461","9295","9445","9315","9466","9292",,99.6,,95,99.6,
"R_Date FO-001 OxA-29638 Lynx pardinus","9892","9700","10115","9558","9890","9694","10114","9555",,99.7,,95,99.6,
"Phase FO Unit-II (Mesolithic)",,,,,,,,,,,,,,
"Boundary Start FO Unit-II",,,,,"11945","9613","20212","9556",,,,,93.5,
"Interval Gap FO Unit-IIIn -> Unit-II",,,,,"14159","20333","4431","20481",,,,,94,
"Boundary End FO Unit-IIIn",,,,,"30274","27207","30410","18733",,,,,95.1,
"Span Span FO Unit-IIIn",,,,,"376","1910","8","6403",,,,,99.7,
"FO Unit-IIIn age",,,,,"31812","28994","33583","24122",,,,,99.6,
"R_Date FO-004 Beta-674118 H. sanguineum","30202","30020","30327","29963","30210","30020","30350","29952",,98.6,,95,99.7,
"R_Date FO-003 OxA-24646 H. sanguineum","31052","30831","31121","30436","31056","30808","31114","30412",,95.2,,95,99.6,
"Delta_R FO IIIn Delta_R","-73.5","-10.5","-102","18","-71.5","-10.5","-101.5","19.5",,99.8,,,99.9,
"Phase FO Unit-IIIn (Initial Gravettian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIn",,,,,"32557","30837","33995","30493",,,,,99.2,
"Interval Gap FO Unit-IIIc -> Unit-IIIn",,,,,"1097","3484","0","3753",,,,,99.4,
"Boundary End FO Unit-IIIc",,,,,"34922","33642","35203","32114",,,,,99.3,
"Span Span FO Unit-IIIc",,,,,"2178","3379","1644","4385",,,,,99.5,
"FO Unit-IIIc age",,,,,"37354","34703","38503","33668",,,,,99.6,
"R_Date FO-007 OxA-34251 ABOx-SC","37056","35790","38195","35284","37018","35858","37601","35315",,105.9,,95.2,99.5,
"R_Date FO-006 OxA-34233 ABOx-SC","38502","37154","39160","36885","37817","36893","38482","36485",,95.1,,94.7,99.2,
"R_Date FO-005 Beta-378800 AAA","34772","34405","35148","34316","35102","34429","35257","34317",,87.9,,93.1,99.2,
"R_Date FO-012 OxA-34250 SW Gallery ABOx-SC","37013","36207","37652","35718","36995","36220","37555","35778",,104.3,,80.8,99.5,
"R_Date FO-013 OxA-34232 SW Gallery ABOx-SC","36990","36212","37609","35771","36979","36216","37544","35809",,103.7,,80.8,99.5,
"Phase FO Unit-IIIc (Early Aurignacian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIc",,,,,"38531","37240","39290","36906",,,,,99.5,
"Interval Gap FO Unit-IV.1-IV -> Unit-IIIc",,,,,"16","1496","0","2308",,,,,99.6,
"Boundary End FO Unit-IV.1-IV",,,,,"39772","38793","40003","37834",,,,,99.2,
"Span Span FO Unit-IV.1-IV",,,,,"0","612","0","1469",,,,,99.3,
"FO Unit-IV.1-IV age",,,,,"40109","39208","40859","38463",,,,,99.5,
"R_Date FO-010 OxA-X-2650-9 AOx-SC","40574","38068","41415","36925","40051","39231","40684","38556",,129,,66.4,99.5,
"R_Combine FO-009 subsample combine","39868","39443","40184","39263","39845","39435","40121","39259",,102,,,99.7,
"Phase FO Unit-IV.1-IV (Chatelperronian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IV.1-IV",,,,,"40466","39514","41388","39367",,,,,97.5,
"Sequence FO_local_baseline_consolidado_v1",,,,,,,,,,,,,,
"Boundary End AR full sequence",,,,,"41542","40466","41815","39538",,,,,86.9,
"Boundary End AR Carbonates above A",,,,,"41697","40909","41925","40296",,,,,96.1,
"AR Age Carbonates above A",,,,,"41756","41089","41964","40572",,,,,97,
"N AR4 average age","43733","41467","44800","40400","41764","41093","41973","40631",,75,,95,97.3,
"R_Date USGS-2839","42191","40296","43129","39037","41750","41089","41959","40605",,133.6,,95.3,97,
"Phase AR Carbonates above A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates above A",,,,,"41840","41254","42022","40831",,,,,97.6,
"Boundary End AR Level A",,,,,"41976","41547","42110","41244",,,,,98.2,
"AR Age Level A",,,,,"42090","41695","42248","41421",,,,,99.3,
"R_Date UA3","42758","41647","43865","41020","42105","41715","42256","41452",,109.3,,95.4,99.4,
"R_Date UA1","42320","41317","42812","40632","42088","41704","42230","41440",,133,,95.6,99.3,
"R_Date AA-6608","42176","41029","42583","40124","42080","41698","42222","41431",,126.7,,95.5,99.3,
"R_Date OxA-11967","41541","40469","41961","39900","42046","41674","42182","41404",,45.7,,94.5,99,
"R_Date AA-7395","42400","41290","43045","40495","42090","41705","42236","41441",,135.7,,95.5,99.3,
"R_Date NZA-2311","41976","41126","42273","40597","42065","41689","42198","41431",,106.5,,95.5,99.2,
"R_Date AA-8037B","42758","41647","43865","41020","42105","41715","42255","41450",,109.2,,95.4,99.3,
"Phase AR Level A",,,,,,,,,,,,,,
"Boundary Start AR Level A",,,,,"42225","41826","42417","41589",,,,,99.2,
"Boundary End AR Carbonates below A",,,,,"42566","42234","42700","42002",,,,,99.5,
"AR Age Carbonates below A",,,,,"42635","42346","42776","42166",,,,,99.9,
"N AR U-series 42700±200","42906","42494","43100","42300","42640","42380","42766","42246",,86.5,,95.4,99.9,
"N AR U-series 42500±200","42706","42294","42900","42100","42620","42360","42746","42222",,119.5,,95.9,99.9,
"Phase AR Carbonates below A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates below A",,,,,"42715","42449","42860","42310",,,,,99.8,
"Boundary End AR Level B",,,,,"42845","42560","43019","42420",,,,,99.8,
"AR Age Level B",,,,,"42974","42625","43291","42480",,,,,99.9,
"R_Date OxA-12025","42811","42496","42990","42364","42914","42638","43097","42508",,88.3,,95,99.9,
"Phase AR Level B",,,,,,,,,,,,,,
"Boundary Start AR Level B",,,,,"43115","42675","43583","42533",,,,,99.6,
