"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 131.9
Aoverall 145.6",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"N sample #42b U/Th","510825","467049","531437","446437","498406","457818","519656","436993",,95.6,,95,99.7,
"N sample #42a U/Th","595617","480257","649937","425937","503078","452118","536118","419638",,79.5,,95,99.7,
"Phase Bedrock Speleothem",,,,,,,,,,,,,,
"Boundary Boundary Bedrock Speleothem bottom",,,,,"512583","462199","531222","458871",,,,,3.7,
"Sequence Cova del Gegant Sequence",,,,,,,,,,,,,,
"Boundary End Teixoneres Unit II",,,,,"40049","32873","40374","29418",,,,,0.1,
"R_Date MAMS-17608","40316","39806","40530","39624","40349","39813","40586","39568",,99.6,,94.6,97.6,
"R_Date MAMS-17601","42889","42623","43036","42497","42892","42617","43057","42486",,101.2,,96.3,98.6,
"R_Date MAMS-17607","40357","39856","40555","39660","40374","39855","40586","39630",,100.6,,95.5,97.9,
"R_Date MAMS-18670","35327","34915","35419","34740","35406","34794","43292","34629",,77.9,,71.8,,
"R_Date MAMS-18669","44205","43406","44424","43162","43707","43168","44149","42991",,91.2,,94.4,95.9,
"R_Date MAMS-18668","42751","42501","42882","42399","42751","42498","42896","42385",,101.4,,96.3,98.7,
"R_Date MAMS-17600","41924","41536","42044","41350","41921","41522","42064","41330",,100.8,,96,98.6,
"Phase Teixoneres Unit II",,,,,,,,,,,,,,
"Boundary Transition Teixoneres Unit III/II",,,,,"44130","43480","44405","43224",,,,,89.2,
"R_Date MAMS-17604","44702","44240","45050","43893","44680","44268","44963","43996",,108.3,,96.8,99,
"R_Date MAMS-17603","44570","44024","44720","43385","44555","44134","44789","43774",,114.6,,96.8,98.7,
"R_Date MAMS-17609","45158","44598","45538","44418","45079","44520","45484","44347",,100.4,,96.3,89.3,
"R_Date MAMS-18673","44045","43278","44336","43055","44387","43851","44565","43463",,81.2,,94.4,94.8,
"R_Date MAMS-18672","45005","44480","45405","44277","44941","44442","45352","44256",,104.3,,96.6,95,
"R_Date MAMS-18671","50710","48596","52174","48034","49832","44108","51207","43648",,61.5,,57.6,30,
"Phase Teixoneres Unit III",,,,,,,,,,,,,,
"Boundary Start Teixoneres Chamber X model",,,,,"50842","44453","53728","44371",,,,,33.6,
"Sequence Teixoneres_local_baseline_v1",,,,,,,,,,,,,,
"Boundary End RC Layer I-Ia",,,,,"39773","37714","40035","31171",,,,,92.2,
"Date RC Layer I-Ia",,,,,"40515","38692","42884","35929",,,,,99.2,
"Last Last RC Layer I-Ia",,,,,"39758","38582","40126","36807",,,,,98.7,
"First First RC Layer I-Ia",,,,,"40393","39730","41847","39433",,,,,99.4,
"R_Combine RC same sample OxA-23644 + OxA-24057","40337","39723","40595","39480","40171","39615","40505","39445",,100.9,,,99.5,
"R_Combine RC same sample OxA-23643 + OxA-2416-44","40198","39593","40505","39409","40088","39560","40433","39395",,104.1,,,99.5,
"R_Date Beta-273965","39375","38224","39630","37576","39766","38746","40018","37816",,90.9,,94.9,99,
"Phase RC Layer I-Ia (Cala A)",,,,,,,,,,,,,,
"Boundary Start RC Layer I-Ia",,,,,"41194","39684","46468","39480",,,,,94.5,
"Sequence Canyars_local_baseline_v1",,,,,,,,,,,,,,
"Boundary End 497D",,,,,"39692","37229","39892","29848",,,,,97.2,
"R_Date AA-68834c","39628","39152","39926","38615","39633","39144","39944","38523",,100.6,,95.8,99.7,
"Phase 497D",,,,,,,,,,,,,,
"Boundary Start 497D",,,,,"40719","39251","42098","38970",,,,,99.3,
"Interval Gap S1B-497D",,,,,"0","1994","0","2966",,,,,98.6,
"Boundary End S1B",,,,,"42633","41225","42801","39889",,,,,98.9,
"R_Date Beta-224299","42681","42326","42902","42176","42692","42325","42953","42143",,100.3,,95.4,99.5,
"Phase S1B",,,,,,,,,,,,,,
"Boundary Start S1B",,,,,"44597","42308","51798","42162",,,,,96.6,
"Sequence CGSL_transition_core_S1_without_Beta207578",,,,,,,,,,,,,,
"Difference d_Start_E_minus_End_F",,,,,"384","1786","-2","2235",,,,,99.6,
"Difference d_Start_F_minus_End_G",,,,,"1816","4134","256","4453",,,,,99,
"Difference d_Start_G_minus_End_H",,,,,"1314","3406","139","3816",,,,,98.4,
"Difference d_Start_H_minus_End_I",,,,,"104","1135","-2","1668",,,,,99.6,
"Boundary End ARB Level-E",,,,,"30287","29503","30679","28074",,,,,97.1,
"R_Date OxA-21669","30276","29907","30739","29518","30294","29970","30735","29797",,104.7,,96.8,99.8,
"R_Date OxA-21668","30720","30095","30866","30017","30424","30050","30779","29993",,108.4,,96.8,99.8,
"Phase ARB Level-E Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-E",,,,,"30919","30129","31778","30030",,,,,99.4,
"Interval Gap F-E",,,,,"381","1782","0","2235",,,,,99.6,
"Boundary End ARB Level-F",,,,,"32561","31421","32910","30680",,,,,99.3,
"R_Date OxA-21782","32888","31946","33312","31644","32856","32024","33193","31735",,107.3,,96.7,99.7,
"R_Date OxA-21781","32857","31931","33256","31650","32849","32015","33173","31739",,106.4,,96.6,99.7,
"Phase ARB Level-F Gravettian",,,,,,,,,,,,,,
"Boundary Start ARB Level-F",,,,,"33661","32140","35384","31903",,,,,98.2,
"Interval Gap G-F",,,,,"1861","4133","255","4456",,,,,99.1,
"Boundary End ARB Level-G",,,,,"36851","35636","37227","34080",,,,,98.5,
"R_Date OxA-21783","37000","36035","37610","35430","36989","36248","37521","35827",,110.7,,96.5,99.7,
"R_Date OxA-21667","37115","36138","38075","35562","37026","36297","37595","35950",,115.9,,96.6,99.7,
"R_Date OxA-21666","37814","36425","38911","36260","37225","36408","37998","36157",,113,,96.4,99.7,
"Phase ARB Level-G Evolved Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-G",,,,,"37932","36563","39271","36348",,,,,97.9,
"Interval Gap H-G",,,,,"1321","3409","136","3785",,,,,98.5,
"Boundary End ARB Level-H",,,,,"40607","39247","40934","38255",,,,,96.3,
"R_Date OxA-21664","41599","40442","42002","39834","41131","40296","41496","39828",,105.3,,96.5,99.6,
"R_Date OxA-21784","41722","40535","42087","39855","41150","40300","41538","39829",,101.3,,96.5,99.6,
"R_Date OxA-21665","41599","40345","42020","39727","41104","40248","41491","39775",,108.9,,96.6,99.6,
"R_Date OxA-21674","39415","37815","40051","37090","40747","39569","41116","38819",,39.5,,89.9,98.7,
"R_Date SANU-29016","41464","40003","42070","39429","41054","40155","41474","39640",,116.4,,96.6,99.5,
"R_Date SANU-29019","41770","40315","42173","39558","41087","40179","41531","39695",,110.1,,96.5,99.6,
"R_Date SANU-29017","40812","39266","41462","37866","40927","39974","41262","39318",,113.5,,96.5,99.4,
"Phase ARB Level-H Proto-Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-H",,,,,"41615","40694","42092","40307",,,,,98.8,
"Interval Gap I-H",,,,,"101","1136","0","1667",,,,,99.6,
"Boundary End ARB Level-I",,,,,"42422","41774","42568","41148",,,,,99,
"R_Date OxA-21662","42319","41442","42730","40912","42526","42043","42777","41612",,95.2,,96.4,99.6,
"R_Date OxA-21704","43795","42283","44504","42037","42690","42205","43270","41971",,113.6,,96.5,99.5,
"R_Date OxA-19994","42549","42238","42750","42095","42523","42241","42707","42108",,107.4,,97,99.7,
"Phase ARB Level-I Mousterian final",,,,,,,,,,,,,,
"Boundary Start ARB Level-I",,,,,"43027","42294","44155","42155",,,,,90.4,
"Sequence ARB_local_baseline_v1",,,,,,,,,,,,,,
"Boundary End FO Unit-II",,,,,"9444","7616","9473","2333",,,,,92.8,
"Span Span FO Unit-II",,,,,"201","1680","3","6940",,,,,99.7,
"FO Unit-II age",,,,,"11096","8321","17090","4462",,,,,99.6,
"R_Date FO-002 R-EVA-1986 Cervus elaphus","9440","9311","9461","9295","9444","9313","9464","9294",,101.2,,96.9,99.4,
"R_Date FO-001 OxA-29638 Lynx pardinus","9892","9700","10115","9558","9890","9695","10114","9555",,101.5,,96.7,99.3,
"Phase FO Unit-II (Mesolithic)",,,,,,,,,,,,,,
"Boundary Start FO Unit-II",,,,,"12417","9618","21183","9552",,,,,94.5,
"Interval Gap FO Unit-IIIn -> Unit-II",,,,,"13478","20329","4039","20495",,,,,93.9,
"Boundary End FO Unit-IIIn",,,,,"30278","27290","30545","18828",,,,,95.2,
"Span Span FO Unit-IIIn",,,,,"368","1905","0","6335",,,,,99.7,
"FO Unit-IIIn age",,,,,"31799","29037","33643","24047",,,,,99.6,
"R_Date FO-004 Beta-674118 H. sanguineum","30202","30020","30327","29963","30210","30020","30354","29950",,99.7,,96.2,99.3,
"R_Date FO-003 OxA-24646 H. sanguineum","31052","30831","31121","30436","31058","30809","31114","30409",,96.4,,96.3,99.3,
"Delta_R FO IIIn Delta_R","-73.5","-10.5","-102","18","-71.5","-11","-101.5","19.5",,99.7,,,99.9,
"Phase FO Unit-IIIn (Initial Gravettian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIn",,,,,"32581","30833","34053","30488",,,,,99.2,
"Interval Gap FO Unit-IIIc -> Unit-IIIn",,,,,"1040","3529","0","3964",,,,,98.9,
"Boundary End FO Unit-IIIc",,,,,"34937","33614","36619","31944",,,,,97.8,
"Span Span FO Unit-IIIc",,,,,"2143","3435","0","4517",,,,,98.6,
"FO Unit-IIIc age",,,,,"37377","34773","38481","33663",,,,,98.9,
"R_Date FO-007 OxA-34251 ABOx-SC","37056","35790","38195","35284","37036","35905","37615","35319",,107.6,,96.2,99.3,
"R_Date FO-006 OxA-34233 ABOx-SC","38502","37154","39160","36885","37847","36866","38521","36416",,93.7,,94.6,99,
"R_Date FO-005 Beta-378800 AAA","34772","34405","35148","34316","35112","34428","36964","34231",,85.4,,90.2,98.8,
"R_Date FO-012 OxA-34250 SW Gallery ABOx-SC","37013","36207","37652","35718","36999","36210","37602","35680",,108.3,,84.8,99.4,
"R_Date FO-013 OxA-34232 SW Gallery ABOx-SC","36990","36212","37609","35771","36983","36215","37579","35719",,107.8,,84.7,99.5,
